City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Saint Anthony,US,45.0205,-93.218,78.06,86,40,14.97,scattered clouds
223,College,US,64.8569,-147.8028,59.32,65,55,3.47,light rain
224,Bethel,US,41.3712,-73.414,95.85,46,0,5.75,clear sky
225,Puerto Rondon,CO,6.2805,-71.1,83.21,74,89,7.85,overcast clouds
226,Cap-Aux-Meules,CA,47.3821,-61.8597,68.13,86,0,9.98,clear sky
227,Mackay,AU,-21.15,149.2,60.67,89,9,7.4,clear sky
228,Bathsheba,BB,13.2167,-59.5167,86.61,79,20,16.11,few clouds
229,Quepos,CR,9.4236,-84.1652,79.86,85,98,3.0,overcast clouds
230,Udayagiri,IN,20.1333,84.3833,71.98,94,93,2.71,overcast clouds
231,Roald,NO,62.5833,6.1333,62.17,88,75,5.75,broken clouds
232,Baillif,GP,16.0202,-61.7463,83.7,69,4,12.19,clear sky
233,Labuhan,ID,-6.8844,112.2051,75.11,85,83,7.02,broken clouds
234,Malanje,AO,-9.5402,16.341,71.92,31,60,3.71,broken clouds
235,Nantucket,US,41.2835,-70.0995,91.51,64,0,13.8,clear sky
236,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,94.93,34,20,4.61,few clouds
237,George Town,MY,5.4112,100.3354,78.73,96,40,5.01,thunderstorm
238,Berlevag,NO,70.8578,29.0864,53.4,87,100,20.71,overcast clouds
239,Balyaga,RU,51.1507,108.921,50.86,96,21,0.54,few clouds
240,Ushtobe,KZ,45.2514,77.9838,75.6,25,0,6.2,clear sky
241,Namibe,AO,-15.1961,12.1522,64.26,88,55,2.59,broken clouds
242,Nador,MA,35.174,-2.9287,79.05,83,75,3.44,broken clouds
243,Quatre Cocos,MU,-20.2078,57.7625,70.09,76,43,15.55,scattered clouds
244,Surt,LY,31.2089,16.5887,80.64,70,0,10.56,clear sky
245,Portland,US,45.5234,-122.6762,77.99,58,100,6.91,overcast clouds
246,Wukari,NG,7.85,9.7833,70.2,95,91,3.94,overcast clouds
247,Ambilobe,MG,-13.2,49.05,64.2,84,10,3.49,clear sky
248,Pudozh,RU,61.8099,36.5345,63.86,82,96,5.3,light rain
249,Miles City,US,46.4083,-105.8406,85.17,28,0,13.8,clear sky
250,Paamiut,GL,61.994,-49.6678,43.95,90,7,5.75,clear sky
251,Nemuro,JP,43.3236,145.575,60.64,94,97,8.52,overcast clouds
252,Hamilton,US,39.1834,-84.5333,94.21,47,0,6.91,clear sky
253,Tautira,PF,-17.7333,-149.15,78.69,77,5,16.44,light rain
254,Garlasco,IT,45.1974,8.9238,84.31,87,33,3.65,scattered clouds
